Initial Complaint,Weight,Temp,HR,Resp,CRT,BCS,Visual Eval,Selected Conditions,Diagnosis
Skin color changes,31.5,40,121,20,1.5,6,Sunken eyes,Viral infection,Ear Mite Infestation
Vomiting and diarrhea,17.6,38.6,128,33,1.6,1,Weak hind limbs,"Nutritional deficiency, Urinary Tract Infection",Malnutrition
Owner complained of itching,34.5,40.4,155,35,2.3,5,Wheezing,Viral infection,Obstruction
Post-surgical follow-up,8.3,38.5,62,24,2,1,Weak hind limbs,"Foreign body ingestion, Anemia, Pneumonia",Anemia
Difficulty breathing,24,39,148,38,1.2,9,Discharge in eye,"Respiratory infection, Dehydration, Soft tissue injury",Ear Mite Infestation
Inappetence and vomiting,13.6,39.2,145,30,2.6,7,Labored breathing,Urinary Tract Infection,Parvovirus
Skin color changes,26.6,37.7,94,19,1.3,1,Dehydrated,"Kidney failure, Gastroenteritis",Anemia
Dog bleeds from the nose,33.8,38.6,130,10,2.5,8,Mild dehydration,"Pneumonia, Anemia",Parvovirus
Bald patches on face,12.6,39.1,152,17,2.1,3,Clear eyes,Hernia,Parvovirus
Abnormal discharge,5.8,39.3,150,38,1.7,5,Clear eyes,Seizure disorder,Mange
Frequent urination,33.4,37.9,92,12,2.3,4,Normal appearance,"Dehydration, Hernia",Tick-borne disease
Picky eater,30.6,39.1,69,29,2.7,6,Abdominal pain,"Heart disease, Fracture, Dehydration",Fracture
Swollen abdomen,17.7,38.7,72,27,1.8,6,"Red, inflamed skin",Dehydration,Respiratory infection
Owner complained of itching,40,37.6,77,18,2.3,2,Blood in stool,Poisoning,Seizure disorder
Soft tissue injury,39.7,38.8,121,37,2,7,Foamy vomit,"Heatstroke, Intestinal blockage, Malnutrition",Respiratory infection
